topic,question,image_url,option_a,option_b,option_c,option_d,correct,explanation,difficulty
Кино и сериалы,Какая песня звучит в финале «Титаника»?,/pictures/q016.jpg,My Heart Will Go On,Unchained Melody,I Will Always Love You,Time to Say Goodbye,A,Селин Дион записала эту песню за один дубль. Она стала одним из самых продаваемых синглов.,1
Кино и сериалы,"Кто снял «Начало», «Интерстеллар» и «Тёмного рыцаря»?",/pictures/q017.jpg,Стивен Спилберг,Кристофер Нолан,Ридли Скотт,Дэвид Финчер,B,Кристофер Нолан известен сложными сюжетами и практическими эффектами.,1
Кино и сериалы,Кто произнёс «Жизнь как коробка шоколадных конфет»?,/pictures/q018.jpg,Том Хэнкс,Брэд Питт,Леонардо ДиКаприо,Мэттью Макконахи,A,Том Хэнкс играл Форреста Гампа. Фраза стала одним из самых цитируемых афоризмов.,1
Кино и сериалы,Сколько фильмов входит в основную сагу «Звёздные войны»?,/pictures/q019.jpg,6,8,9,11,C,Основная сага: три трилогии (эпизоды I-IX). Плюс спин-оффы и сериалы.,2
Кино и сериалы,Какой фильм стал самым кассовым в 2023 году?,/pictures/q020.jpg,Оппенheimer,Барби,Стражи Галактики 3,Форсаж 10,B,"Барби собрала более $1.4 млрд. Самый кассовый фильм, снятый женщиной-режиссёром.",2
Кино и сериалы,Какой цвет таблетки выбирает Нео в «Матрице»?,/pictures/q021.jpg,Синюю,Красную,Зелёную,Жёлтую,B,Красная таблетка — узнать правду. Синяя — остаться в неведении. Нео выбирает красную.,1
Кино и сериалы,В каком году вышел первый фильм о Гарри Поттере?,/pictures/q022.jpg,1999,2000,2001,2002,C,«Гарри Поттер и философский камень» вышел в ноябре 2001 года.,2
Кино и сериалы,"Кто играл и в «Властелине колец», и в «Людях Икс»?",/pictures/q023.jpg,Хью Джекман,Иэн Маккеллен,Орландо Блум,Патрик Стюарт,B,Иэн Маккеллен — Гэндальф и Магнето. Два культовых персонажа!,2
Кино и сериалы,Кто снял «Криминальное чтиво»?,/pictures/q024.jpg,Мартин Скорсезе,Квентин Тарантино,Гай Ричи,Дэвид Линч,B,Тарантино написал сценарий за 3 недели в Амстердаме. Фильм перевернул киноиндустрию.,1
Музыка,Какая группа записала «The Dark Side of the Moon»?,/pictures/q025.jpg,The Beatles,Led Zeppelin,Pink Floyd,Queen,C,Pink Floyd. Альбом провёл 937 недель в чарте Billboard 200 — абсолютный рекорд!,2
Музыка,Какой альбом — самый продаваемый в истории?,/pictures/q026.jpg,Back in Black,The Dark Side of the Moon,Thriller,Abbey Road,C,Thriller Майкла Джексона продан тиражом более 70 млн копий.,1
Музыка,Кто написал «Für Elise»?,/pictures/q027.jpg,Моцарт,Бетховен,Бах,Шопен,B,Бетховен написал эту пьесу в 1810 году. Кто такая Элиза — до сих пор загадка!,2
Музыка,Какой инструмент считается самым сложным для изучения?,/pictures/q028.jpg,Скрипка,Фортепиано,Виолончель,Фагот,A,Скрипка не имеет ладов — музыкант должен сам находить точную высоту ноты.,2
Музыка,Сколько участников было в группе The Beatles?,/pictures/q029.jpg,3,4,5,6,B,"Четверо: Джон Леннон, Пол Маккартни, Джордж Харрисон и Ринго Старр.",1
Музыка,Кто известен как «Король поп-музыки»?,/pictures/q030.jpg,Элвис Пресли,Майкл Джексон,Принс,Фредди Меркьюри,B,Майкл Джексон — «Король попа». Thriller до сих пор самый продаваемый альбом.,1
Музыка,В какой стране зародился джаз?,/pictures/q031.jpg,Великобритания,США,Франция,Куба,B,Джаз зародился в Новом Орлеане (США) в конце XIX века.,1
Музыка,Какая песня Queen длится почти 6 минут?,/pictures/q032.jpg,We Will Rock You,Bohemian Rhapsody,We Are the Champions,Somebody to Love,B,Bohemian Rhapsody — уникальная песня без припева в традиционном смысле.,1
Музыка,"Какой композитор оглох, но продолжил писать музыку?",/pictures/q033.jpg,Моцарт,Бетховен,Бах,Вивальди,B,"Бетховен начал терять слух в 26 лет, но написал величайшие произведения будучи глухим.",2
Музыка,Какой жанр зародился на Ямайке?,/pictures/q034.jpg,Регги,Ска,Рокстеди,Все перечисленные,D,"Регги, ска и рокстеди — все зародились на Ямайке. Боб Марли сделал регги мировым.",2
Музыка,Какая группа — «Величайшая рок-н-ролл группа»?,/pictures/q035.jpg,The Beatles,The Rolling Stones,Led Zeppelin,AC/DC,B,The Rolling Stones играют с 1962 года и до сих пор дают концерты!,2
Музыка,Сколько клавиш у стандартного фортепиано?,/pictures/q036.jpg,76,82,88,96,C,У стандартного фортепиано 88 клавиш: 52 белых и 36 чёрных.,1
История,В каком году пала Берлинская стена?,/pictures/q037.jpg,1987,1989,1991,1993,B,Берлинская стена пала 9 ноября 1989 года. Это символизирует конец Холодной войны.,1
История,"Сколько лет было Тутанхамону, когда он стал фараоном?",/pictures/q038.jpg,5,9,12,15,B,Тутанхамон стал фараоном в 9 лет и умер в 19. Его гробницу нашли только в 1922 году.,2
История,Кто был первым человеком в космосе?,/pictures/q039.jpg,Нил Армстронг,Юрий Гагарин,Алан Шепард,Джон Гленн,B,Юрий Гагарин совершил полёт 12 апреля 1961 года на корабле «Восток-1».,1
История,Видна ли Великая Китайская стена из космоса?,/pictures/q040.jpg,"Да, невооружённым глазом",Только с орбиты,Только в телескоп,"Нет, это миф",D,"Это популярный миф! Стена слишком узкая, чтобы её увидеть из космоса невооружённым глазом.",2
История,Какая цивилизация изобрела бумагу?,/pictures/q041.jpg,Древний Египет,Древний Китай,Древняя Греция,Древний Рим,B,Китайцы изобрели бумагу около 105 г. н. э. До этого писали на шёлке и бамбуке.,2
История,Кто открыл Америку в 1492 году?,/pictures/q042.jpg,Васко да Гама,Христофор Колумб,Магеллан,Америго Веспуччи,B,"Колумб думал, что плывёт в Индию. Он так и не узнал, что открыл новый континент.",1
История,Вмещал ли Колизей 50 000 зрителей?,/pictures/q043.jpg,"Да, примерно 50 000","Нет, только 20 000","Да, даже 80 000","Нет, только 10 000",A,Колизей вмещал около 50 000–80 000 зрителей. Крупнейший амфитеатр Римской империи.,2
История,Какая война длилась всего 38 минут?,/pictures/q044.jpg,Англо-занзибарская,Семилетняя,Столетняя,Крымская,A,Англо-занзибарская война 1896 года — самая короткая война в истории: 38 минут!,3
История,Кто написал «Войну и мир»?,/pictures/q045.jpg,Достоевский,Толстой,Чехов,Тургенев,B,Лев Толстой. Роман содержит более 580 000 слов и 580 персонажей!,1
История,Какая страна первой использовала порох как оружие?,/pictures/q046.jpg,Япония,Китай,Индия,Персия,B,Китайцы изобрели порох в IX веке. Сначала его использовали для фейерверков!,2
История,Как звали первого президента США?,/pictures/q047.jpg,Джон Адамс,Томас Джефферсон,Джордж Вашингтон,Бенджамин Франклин,C,Джордж Вашингтон был президентом с 1789 по 1797 год. Он отказался становиться королём.,1
История,В каком году началась Первая мировая война?,/pictures/q048.jpg,1912,1914,1916,1918,B,Первая мировая началась 28 июля 1914 года после убийства эрцгерцога Фердинанда.,1
География,Какая страна самая большая по площади?,/pictures/q049.jpg,Китай,США,Канада,Россия,D,"Россия — крупнейшая страна мира: 17.1 млн км². Это больше, чем Плутон!",1
География,Какой водопад считается самым широким в мире?,/pictures/q050.jpg,Ниагарский,Виктория,Анхель,Игуасу,B,Водопад Виктория в Африке — 1 708 метров в ширину и 108 метров в высоту.,2
География,В какой стране находится Эверест?,/pictures/q051.jpg,Индия,Китай,Непал,Тибет,C,Эверест (8 849 м) находится на границе Непала и Тибета (Китай).,1
География,Какая пустыня самая большая в мире?,/pictures/q052.jpg,Сахара,Гоби,Антарктида,Аравийская,C,Антарктида — самая большая пустыня! Пустыня — это место с минимальным количеством осадков.,2
География,Какая река самая длинная в мире?,/pictures/q053.jpg,Амазонка,Нил,Миссисипи,Янцзы,A,Амазонка — около 7 100 км. Хотя некоторые измерения дают первенство Нилу.,2
География,Сколько континентов на Земле?,/pictures/q054.jpg,5,6,7,8,C,"Семь континентов: Африка, Антарктида, Австралия, Европа, Азия, Северная и Южная Америка.",1
География,Какая страна имеет больше всего вулканов?,/pictures/q055.jpg,Япония,Индонезия,Исландия,Италия,B,Индонезия имеет 147 вулканов — больше любой другой страны. Она на Тихоокеанском огненном кольце.,2
География,Какой город самый населённый в мире?,/pictures/q056.jpg,Токио,Дели,Шанхай,Сеул,A,Большой Токио — около 37 млн человек. Это самый населённый мегаполис.,2
География,В какой стране находится Мёртвое море?,/pictures/q057.jpg,Египет,Израиль и Иордания,Турция,Саудовская Аравия,B,Мёртвое море на границе Израиля и Иордании. Вода в нём в 10 раз солонее океанской.,2
География,Какая страна имеет самую длинную береговую линию?,/pictures/q058.jpg,Россия,Австралия,Канада,Индонезия,C,"Канада — 202 080 км береговой линии. Больше, чем у любой другой страны.",3
География,Какое озеро самое глубокое в мире?,/pictures/q059.jpg,Каспийское море,Байкал,Танганьика,Виктория,B,Байкал — самое глубокое озеро (1 642 м). В нём 20% мировых запасов пресной воды.,1
География,Какой город стоит на двух континентах?,/pictures/q060.jpg,Стамбул,Москва,Каир,Дубай,A,"Стамбул разделён проливом Босфор — часть в Европе, часть в Азии.",1
Еда и напитки,Какая еда не портится тысячелетиями?,/pictures/q061.jpg,Соль,Мёд,Сахар,Сушёное мясо,B,Археологи нашли мёд в египетских гробницах возрастом 3 000 лет. Он был съедобен!,2
Еда и напитки,Из какой страны родом пицца?,/pictures/q062.jpg,Франция,Италия,Греция,Испания,B,"Пицца родом из Неаполя, Италия. Первая пиццерия в США открылась в 1905 году.",1
Еда и напитки,Какой фрукт самый популярный в мире?,/pictures/q063.jpg,Яблоко,Банан,Апельсин,Манго,B,Банан — самый потребляемый фрукт в мире. Ежегодно выращивают более 100 млн тонн.,1
Еда и напитки,Из какого растения делают шоколад?,/pictures/q064.jpg,Ваниль,Какао,Кофе,Кокос,B,Шоколад делают из какао-бобов. Майя первыми начали готовить горячий шоколад 3 000 лет назад.,1
Еда и напитки,"Сколько времени нужно, чтобы сварить яйцо всмятку?",/pictures/q065.jpg,2 минуты,4 минуты,7 минут,10 минут,B,Яйцо всмятку — 4 минуты в кипящей воде. Вкрутую — 10 минут.,1
Еда и напитки,Какая специя самая дорогая в мире?,/pictures/q066.jpg,Ваниль,Шафран,Кардамон,Перец,B,Шафран стоит до $10 000 за кг! Его собирают вручную из крокусов.,2
Еда и напитки,В какой стране пьют больше всего кофе на душу населения?,/pictures/q067.jpg,Италия,Бразилия,Финляндия,США,C,"Финляндия — около 12 кг кофе на человека в год. Больше, чем в Италии!",2
Еда и напитки,Какой овощ вызывает слёзы при нарезке?,/pictures/q068.jpg,Чеснок,Лук,Перец,Хрен,B,"Лук выделяет син-пропан-S-оксид — газ, который раздражает глаза.",1
Еда и напитки,Какой напиток — второй по популярности после воды?,/pictures/q069.jpg,Кофе,Чай,Кола,Сок,B,Чай пьют более 3 млрд человек ежедневно. Это второй по популярности напиток.,1
Еда и напитки,Откуда родом киви?,/pictures/q070.jpg,Новая Зеландия,Китай,Италия,Чили,B,Киви родом из Китая. В Новой Зеландии его начали выращивать в XX веке.,2
Еда и напитки,Какой сыр самый популярный в мире?,/pictures/q071.jpg,Пармезан,Чеддер,Моцарелла,Гауда,C,Моцарелла — самый популярный сыр в мире благодаря пицце.,1
Еда и напитки,Сколько вкусов распознаёт человеческий язык?,,3,4,5,6,C,"Пять: сладкий, солёный, кислый, горький и умами. Умами — «мясной» вкус.",1
Спорт,Сколько колец на олимпийском флаге?,/pictures/q073.svg,4,5,6,7,B,Пять колец — пять континентов. Флаг создан в 1913 году.,1
Спорт,Какой вид спорта называют «королём спорта»?,/pictures/q074.jpg,Баскетбол,Футбол,Теннис,Бокс,B,Футбол — самый популярный вид спорта в мире. Более 4 млрд фанатов.,1
Спорт,Какой рекорд Усэйна Болта на 100 метров?,/pictures/q075.jpg,9.58 сек,9.69 сек,9.72 сек,9.81 сек,A,Усэйн Болт пробежал 100 м за 9.58 сек в 2009 году. Рекорд до сих пор не побит.,2
Спорт,В каком году прошли первые современные Олимпийские игры?,/pictures/q076.jpg,1886,1896,1906,1912,B,Первые современные Олимпиады прошли в Афинах в 1896 году.,2
Спорт,Сколько игроков в баскетбольной команде на площадке?,/pictures/q077.jpg,4,5,6,7,B,В баскетболе 5 игроков от каждой команды на площадке одновременно.,1
Спорт,Какая страна выиграла ЧМ по футболу 2022?,/pictures/q078.jpg,Франция,Аргентина,Бразилия,Германия,B,Аргентина выиграла ЧМ-2022 в Катаре. Месси наконец получил свой Кубок!,1
Спорт,Кто выиграл больше всего олимпийских золотых медалей?,/pictures/q079.jpg,Усэйн Болт,Майкл Фелпс,Ларри Бёрд,Карл Льюис,B,Майкл Фелпс — 23 золотые олимпийские медали в плавании. Непревзойдённый рекорд!,2
Спорт,В каком виде спорта используется термин «сухая игра»?,/pictures/q080.jpg,Футбол,Хоккей,Бейсбол,Баскетбол,B,В хоккее «сухая игра» (шатаут) — когда вратарь не пропускает ни одной шайбы.,2
Спорт,Какова стандартная длина марафона?,/pictures/q081.jpg,40 км,42.195 км,45 км,50 км,B,42 км 195 м. Длина основана на легенде о греческом воине Фидиппиде.,1
Спорт,Кто выиграл больше всего турниров Большого шлема среди мужчин?,/pictures/q082.jpg,Роджер Федерер,Рафаэль Надаль,Новак Джокович,Пит Сампрас,C,Новак Джокович — рекордсмен с 24 титулами Большого шлема.,2
Спорт,Сколько минут длится матч по регби?,/pictures/q083.jpg,60,70,80,90,C,Матч по регби длится 80 минут (два тайма по 40 минут).,2
Спорт,"Кто сказал: «Порхай как бабочка, жаль как пчела»?",/pictures/q084.jpg,Майк Тайсон,Мухаммед Али,Флойд Мейвезер,Мохаммед Али,B,Мухаммед Али — один из величайших боксёров. Он известен своими цитатами.,1
Технологии и интернет,В каком году был создан первый iPhone?,/pictures/q085.jpg,2005,2006,2007,2008,C,Стив Джобс представил первый iPhone 9 января 2007 года. Это изменило мир.,1
Технологии и интернет,Что означает слово «Google»?,/pictures/q086.svg,Быстрый поиск,Число 10 в 100-й степени,Глобальная сеть,Интеллект,B,«Гугол» (googol) — число 10^100. Название отражает миссию: организовать информацию.,1
Технологии и интернет,Кто основал компанию Tesla?,/pictures/q087.jpg,Джефф Безос,Илон Маск,Марк Цукерберг,Тим Кук,B,Илон Маск присоединился к Tesla в 2004 году как главный инвестор и председатель.,1
Технологии и интернет,В каком году появился Facebook?,/pictures/q088.png,2003,2004,2005,2006,B,Facebook запущен 4 февраля 2004 года Марком Цукербергом в общежитии Гарварда.,1
Технологии и интернет,Что означает «HTML»?,/pictures/q089.jpg,Hyper Text Markup Language,High Tech Modern Language,Home Tool Markup Language,Hyper Transfer Markup Language,A,HTML — HyperText Markup Language. Это основа всех веб-страниц.,2
Технологии и интернет,Какая компания создала Android?,/pictures/q090.jpg,Apple,Microsoft,Google,Samsung,C,Android Inc. была куплена Google в 2005 году. Сейчас Android — самая популярная ОС для смартфонов.,1
Технологии и интернет,Кто создал биткоин?,,Илон Маск,Сатоси Накамото,Виталик Бутерин,Билл Гейтс,B,Сатоси Накамото — псевдоним. Настоящая личность создателя биткоина неизвестна.,2
Технологии и интернет,Сколько байтов в одном килобайте?,/pictures/q092.jpg,1000,1024,512,2048,B,В одном килобайте 1024 байта (2^10). Это двоичная система!,2
Технологии и интернет,Какой язык программирования самый популярный?,/pictures/q093.jpg,Java,Python,C++,JavaScript,B,"Python — самый популярный язык благодаря AI, машинному обучению и простоте.",2
Технологии и интернет,Кто основал Microsoft?,/pictures/q094.jpg,Стив Джобс,Билл Гейтс,Джефф Безос,Ларри Пейдж,B,Билл Гейтс и Пол Аллен основали Microsoft в 1975 году.,1
Технологии и интернет,Что такое «Wi-Fi»?,/pictures/q095.jpg,Wireless Fidelity,Wireless Finder,Wide Frequency,Ничего — это просто бренд,D,"Wi-Fi — это торговая марка, а не аббревиатура. «Wireless Fidelity» — популярный миф!",3
Технологии и интернет,Какой мессенджер самый популярный в мире?,/pictures/q096.jpg,Telegram,WhatsApp,WeChat,Messenger,B,WhatsApp — более 2 млрд пользователей по всему миру.,1
Животные,Какое самое популярное домашнее животное?,/pictures/q097.jpg,Кошка,Собака,Рыбка,Хомяк,B,Собаки — самые популярные домашние животные. Более 500 млн собак в мире.,1
Животные,Сколько ног у паука?,/pictures/q098.jpg,4,6,8,10,C,У паука 8 ног. И он не насекомое — у насекомых 6 ног!,1
Животные,Какое самое крупное наземное животное?,/pictures/q099.jpg,Белый медведь,Африканский слон,Носорог,Бегемот,B,Африканский слон весит до 6 тонн и ростом до 4 метров.,1
Животные,Могут ли акулы заболеть раком?,/pictures/q100.jpg,"Нет, никогда","Да, могут",Только в неволе,Только некоторые виды,B,"Миф о том, что акулы не болеют раком — ложь. Они болеют, включая рак.",2
Животные,Сколько пальцев у кошки на передних лапах?,/pictures/q101.jpg,3,4,5,6,C,У кошки 5 пальцев на передних лапах и 4 на задних. Итого 18!,2
Животные,Какое животное спит больше всего?,/pictures/q102.jpg,Коала,Ленивец,Кошка,Медведь,A,Коала спит до 22 часов в сутки! Это связано с низкокалорийной диетой из эвкалипта.,1
Животные,Могут ли дельфины спать с одним открытым глазом?,/pictures/q103.jpg,Нет,"Да, только в неволе","Да, в дикой природе",Только самки,C,"Дельфины спят одним полушарием мозга, а второе бодрствует. Один глаз открыт!",2
Животные,Какое животное самое быстрое в воде?,/pictures/q104.jpg,Дельфин,Акула-мако,Рыба-парусник,Касатка,C,Рыба-парусник развивает до 110 км/ч — самое быстрое водное животное.,2
Животные,Почему фламинго розовые?,/pictures/q105.jpg,Генетика,От еды (креветки и водоросли),От солнца,От воды,B,Фламинго рождаются серыми. Розовый цвет даёт каротин из креветок и водорослей.,2
Животные,Какая птица может летать задом наперёд?,/pictures/q106.jpg,Орёл,Колибри,Попугай,Сова,B,"Колибри — единственная птица, которая может летать задом наперёд и зависать в воздухе.",1
Животные,Сколько сердец у дождевого червя?,/pictures/q107.jpg,0,1,5,10,C,"У дождевого червя 5 пар «сердец» — это кольцевые сосуды, перекачивающие кровь.",2
Животные,Какое животное не может прыгать?,/pictures/q108.jpg,Кошка,Собака,Слон,Кролик,C,"Слоны — единственные животные, которые не могут прыгать. Их ноги не предназначены для этого.",1
Искусство и литература,Кто нарисовал «Мону Лизу»?,/pictures/q109.jpg,Микеланджело,Рафаэль,Леонардо да Винчи,Тициан,C,Леонардо да Винчи писал «Мону Лизу» около 4 лет (1503–1506). Она хранится в Лувре.,1
Искусство и литература,Кто написал «Звёздную ночь»?,/pictures/q110.jpg,Клод Моне,Винсент ван Гог,Поль Сезанн,Эдвард Мунк,B,"Ван Гог написал «Звёздную ночь» в 1889 году, находясь в психиатрической клинике.",1
Искусство и литература,Кто написал «Гамлета»?,/pictures/q111.jpg,Чарльз Диккенс,Уильям Шекспир,Марк Твен,Оскар Уайльд,B,Уильям Шекспир. «Гамлет» — одна из самых исполняемых пьес в мире.,1
Искусство и литература,Кто создал скульптуру «Мыслитель»?,/pictures/q112.jpg,Микеланджело,Огюст Роден,Бернини,Донателло,B,Огюст Роден создал «Мыслителя» в 1904 году. Оригинал находится в Париже.,1
Искусство и литература,Кто написал «1984»?,/pictures/q113.jpg,Олдос Хаксли,Джордж Оруэлл,Рэй Брэдбери,Курт Воннегут,B,Джордж Оруэлл написал «1984» в 1948 году. Антиутопия о тоталитарном обществе.,1
Искусство и литература,Какой художник отрезал себе ухо?,/pictures/q114.jpg,Пабло Пикассо,Винсент ван Гог,Поль Гоген,Анри Матисс,B,Ван Гог отрезал часть уха в 1888 году после ссоры с Гогеном.,2
Искусство и литература,Кто написал «Анну Каренину»?,/pictures/q115.jpg,Достоевский,Толстой,Чехов,Тургенев,B,Лев Толстой. «Анна Каренина» — один из величайших романов мировой литературы.,1
Искусство и литература,Кто написал картину «Поцелуй»?,/pictures/q116.jpg,Климт,Мунк,Моне,Ренуар,A,Густав Климт написал «Поцелуй» в 1907–1908 годах. Шедевр венского модерна.,2
Искусство и литература,Какой роман начинается: «Все счастливые семьи похожи»?,/pictures/q117.jpg,Анна Каренина,Война и мир,Евгений Онегин,Преступление и наказание,A,«Анна Каренина» Толстого. Первая фраза — одна из самых знаменитых в литературе.,2
Искусство и литература,Кто написал «Маленького принца»?,/pictures/q118.jpg,Жюль Верн,Антуан де Сент-Экзюпери,Альбер Камю,Виктор Гюго,B,Сент-Экзюпери написал «Маленького принца» в 1943 году. Переведена на 300+ языков.,1
Искусство и литература,Кто написал «Крик»?,/pictures/q119.jpg,Ван Гог,Эдвард Мунк,Пикассо,Дали,B,Эдвард Мунк написал «Крик» в 1893 году. Символ тревоги и экзистенциального ужаса.,1
Искусство и литература,Какая книга — самая продаваемая после Библии?,/pictures/q120.jpg,Властелин колец,Гарри Поттер,Дон Кихот,Маленький принц,C,«Дон Кихот» Сервантеса — более 500 млн копий. Это первый современный роман.,2
Человеческое тело,Какой орган самый большой в теле человека?,/pictures/q121.jpg,Печень,Кожа,Мозг,Лёгкие,B,Кожа — самый большой орган. У взрослого человека её площадь около 2 кв.м.,1
Человеческое тело,"Сколько мышц использует человек, чтобы улыбнуться?",/pictures/q122.jpg,5,12,17,26,C,"Чтобы улыбнуться, нужно задействовать около 17 мышц лица. А чтобы нахмуриться — 43!",2
Человеческое тело,Сколько весит мозг взрослого человека?,/pictures/q123.jpg,0.5 кг,1.4 кг,2.5 кг,3.5 кг,B,"Мозг весит около 1.4 кг. Это всего 2% массы тела, но потребляет 20% энергии.",1
Человеческое тело,Человек использует только 10% мозга — это правда?,/pictures/q124.jpg,"Да, научный факт","Нет, мы используем весь мозг",Только во сне,Только гении,B,"Миф! Нейровизуализация показывает, что мы используем практически все 100% мозга.",2
Человеческое тело,Сколько процентов ДНК человека совпадает с ДНК банана?,/pictures/q125.jpg,10%,30%,50%,60%,D,Около 60% ДНК человека совпадает с ДНК банана! Мы все немного бананы.,3
Человеческое тело,Какой кислоты больше всего в желудке?,/pictures/q126.jpg,Лимонная,Уксусная,Соляная,Серная,C,Соляная кислота (HCl). pH желудка — около 1.5–2. Она растворяет даже металл!,2
Человеческое тело,Сколько литров крови в теле взрослого человека?,/pictures/q127.jpg,2-3,4-5,7-8,10-12,B,Около 5 литров крови. Красные кровяные тельца живут всего 120 дней.,1
Человеческое тело,Сколько раз в день бьётся сердце?,/pictures/q128.jpg,10 000,50 000,100 000,200 000,C,Сердце бьётся около 100 000 раз в день. За жизнь — более 2.5 млрд ударов!,1
Человеческое тело,Может ли человек чихнуть с открытыми глазами?,/pictures/q129.jpg,"Да, легко","Нет, это невозможно",Только тренированные,Только дети,B,Чихнуть с открытыми глазами практически невозможно — мозг автоматически закрывает глаза.,2
Человеческое тело,Что самое твёрдое в теле человека?,/pictures/q130.jpg,Кость,Ноготь,Зубная эмаль,Хрящ,C,Зубная эмаль — самое твёрдое вещество в теле человека. Даже твёрже кости!,1
Человеческое тело,Какой орган может восстанавливаться?,,Сердце,Печень,Мозг,Почки,B,Печень может регенерировать до 75% своей массы. Единственный орган с такой способностью.,2
Человеческое тело,Сколько времени переваривается пища?,/pictures/q132.jpg,30 минут,2-3 часа,6-8 часов,24 часа,C,Полное переваривание пищи занимает 6-8 часов. Но некоторые продукты быстрее.,1
Развлечения и игры,Какая консоль продалась лучше всего в истории?,,PS2,Xbox 360,Nintendo Switch,PS5,A,PlayStation 2 — более 155 млн проданных консолей. Рекорд до сих пор не побит.,2
Развлечения и игры,Кто создал игру Minecraft?,/pictures/q134.jpg,Valve,Mojang,Epic Games,Ubisoft,B,Mojang и Маркус «Notch» Перссон. Microsoft купила Mojang за $2.5 млрд в 2014 году.,1
Развлечения и игры,Как звали сантехника из самой популярной видеоигры?,/pictures/q135.svg,Луиджи,Марио,Варио,Тоад,B,Марио! Он появился в 1981 году в игре Donkey Kong под именем «Jumpman».,1
Развлечения и игры,Какая карточная игра самая популярная в мире?,/pictures/q136.jpg,Покер,Блэкджек,Уно,Пасьянс,C,Уно — самая популярная карточная игра в мире. Создана в 1971 году.,1
Развлечения и игры,Кто создал Тетрис?,/pictures/q137.jpg,Японский программист,Русский программист,Американский программист,Корейский программист,B,Алексей Пажитнов создал Тетрис в 1984 году в Москве.,1
Развлечения и игры,Сколько кубиков в кубике Рубика?,,20,24,26,27,C,26 видимых кубиков (1 скрытый в центре). Но 43 квинтиллиона комбинаций!,2
Развлечения и игры,Какая настольная игра самая продаваемая в мире?,/pictures/q139.jpg,Монополия,Скраббл,Шахматы,Мафия,A,Монополия — более 275 млн проданных копий. Игра создана в 1935 году.,1
Развлечения и игры,"Как зовут призрака, который не преследует Пакмана?",,Блинки,Пинки,Инки,Клайд,D,"Клайд (оранжевый) — «тупой» призрак, который уходит в угол, когда Пакман рядом.",3
